"","date","ativo","retorno","fechamento","abertura","sentido_ret","volume","Dia","Ano","Semana","value"
"1",2012-01-03,"ABEV3",-0.01146250302,13.02269316,13.19703937,0,34542,"Terça",2012,1,58
"2",2012-01-04,"ABEV3",-0.02351721585,12.72000878,12.98394956,0,15914,"Quarta",2012,1,45
"3",2012-01-05,"ABEV3",-0.01999682092,12.46817536,12.55534847,0,16983,"Quinta",2012,1,55
"4",2012-01-06,"ABEV3",-0.002527954718,12.43669619,12.46575389,0,7117,"Sexta",2012,1,49
"5",2012-01-09,"ABEV3",-0.001948938434,12.41248144,12.43669619,0,5539,"Segunda",2012,2,42
"6",2012-01-10,"ABEV3",-0.005085088214,12.34952308,12.45848946,0,15274,"Terça",2012,2,55
"7",2012-01-11,"ABEV3",0,12.34952308,12.34952308,0,14002,"Quarta",2012,2,57
"8",2012-01-12,"ABEV3",0.004499665257,12.40521701,12.35194456,1,21481,"Quinta",2012,2,54
"9",2012-01-13,"ABEV3",0.001365454161,12.42216734,12.36889488,1,9463,"Sexta",2012,2,52
"10",2012-01-16,"ABEV3",0.01182069767,12.56987732,12.45122504,1,12683,"Segunda",2012,3,65
"11",2012-01-17,"ABEV3",0.006528441015,12.65220747,12.59167059,1,26744,"Terça",2012,3,50
"12",2012-01-18,"ABEV3",0.01047129992,12.7853886,12.65220747,1,28253,"Quarta",2012,3,54
"13",2012-01-19,"ABEV3",-0.004746093401,12.72485173,12.7853886,0,21605,"Quinta",2012,3,45
"14",2012-01-20,"ABEV3",0.002850358169,12.76117385,12.83381811,1,13910,"Sexta",2012,3,41
"15",2012-01-23,"ABEV3",-0.01356406314,12.58924912,12.76117385,0,18765,"Segunda",2012,4,61
"16",2012-01-24,"ABEV3",0.01318448449,12.7563309,12.44638209,1,4664,"Terça",2012,4,56
"17",2012-01-26,"ABEV3",-0.003422707273,12.71274435,12.71516582,0,12013,"Quinta",2012,4,48
