"","date","sentido_IBOV","lag_fechamento_IBOV","lag_abertura_IBOV","lag_volume_IBOV","lag_retorno_IBOV","lag_value_IBOV"
"1",2018-01-02,"1",81184.08244,80838.71946,15.8004282106321,-6.778650826e-05,22
"2",2018-01-03,"1",82766.23638,81184.63499,15.8902719146442,0.01930100608,21
"3",2018-01-04,"1",82876.87324,82764.50436,15.9561161053786,0.001335846468,21
"4",2018-01-05,"1",83569.95817,82879.5616,16.0520258246379,0.008328051931,24
"5",2018-01-08,"1",84020.54943,83566.61101,15.8849598429121,0.005377301629,24
"6",2018-01-09,"0",84346.83893,84019.27433,15.8007272681362,0.003875927609,22
"7",2018-01-10,"0",83799.60511,84347.55087,16.0085696941057,-0.006509037526,15
"8",2018-01-11,"1",83095.13985,83799.63698,15.8314041543909,-0.008442080595,40
"9",2018-01-12,"0",84332.919,83095.33111,15.9483426183186,0.0147860725,28
"10",2018-01-15,"1",84315.57753,84332.919,15.9978769640101,-0.0002056522224,36
"11",2018-01-16,"1",84744.06693,84315.57753,15.4455876104653,0.005069102291,28
"12",2018-01-17,"1",84828.42595,84742.33491,15.9415925739327,0.00099496117,44
"13",2018-01-18,"0",86270.78555,84828.28781,16.2649059992048,0.01686032046,36
"14",2018-01-19,"1",86030.0983,86266.38643,16.0547265790817,-0.002793803504,43
"15",2018-01-22,"1",86303.02453,86032.30848,15.9459796399722,0.003167428904,34
"16",2018-01-23,"0",86787.48054,86303.02453,15.8690855513858,0.005597733681,23
"17",2018-01-24,"1",85728.00397,86788.19247,16.2400659964724,-0.01228283809,23
"18",2018-01-26,"1",88917.5271,85728.49277,16.556955818052,0.03652973861,93
"19",2018-01-29,"0",90884.21109,88917.78212,16.6065505659278,0.02187701234,53
"20",2018-01-30,"0",89999.2543,90884.21109,16.2706443626052,-0.009784905966,22
"21",2018-01-31,"1",89770.21303,89998.46798,16.139031753276,-0.002548167843,35
"22",2018-02-01,"1",89966.47897,89513.84256,16.3421908293318,0.002183928188,39
"23",2018-02-02,"0",90583.69021,89966.65909,16.3162287111641,0.006837031991,31
"24",2018-02-05,"0",89043.25793,90583.52068,16.1353918063432,-0.01715188123,45
"25",2018-02-06,"1",86733.24523,89041.60508,16.0674955899132,-0.02628503425,47
"26",2018-02-07,"0",88887.19102,86729.18727,16.6401875709982,0.02453078761,57
"27",2018-02-08,"0",87692.78652,88886.94734,16.2690960309406,-0.01352840495,38
"28",2018-02-09,"0",86385.1302,87699.93826,16.247873043634,-0.01502408734,33
"29",2018-02-14,"1",85713.57632,86384.0495,16.3235250693529,-0.007804326995,47
"30",2018-02-15,"1",88515.08853,85716.51119,16.3801060836039,0.03216179946,44
