Ano,ativo,sentido,n
2012,ABEV3,-1,113
2012,ABEV3,0,3
2012,ABEV3,1,128
2012,B3SA3,-1,112
2012,B3SA3,0,8
2012,B3SA3,1,124
2012,BBAS3,-1,120
2012,BBAS3,0,7
2012,BBAS3,1,117
2012,BBDC4,-1,115
2012,BBDC4,0,5
2012,BBDC4,1,124
2012,IBOV,-1,131
2012,IBOV,1,113
2012,ITSA4,-1,122
2012,ITSA4,0,3
2012,ITSA4,1,119
2012,ITUB4,-1,114
2012,ITUB4,0,2
2012,ITUB4,1,128
2012,PETR3,-1,122
2012,PETR3,0,2
2012,PETR3,1,120
2012,PETR4,-1,123
2012,PETR4,0,1
2012,PETR4,1,120
2012,VALE3,-1,129
2012,VALE3,0,3
2012,VALE3,1,112
2013,ABEV3,-1,128
2013,ABEV3,0,2
2013,ABEV3,1,118
2013,B3SA3,-1,120
2013,B3SA3,0,6
2013,B3SA3,1,122
2013,BBAS3,-1,119
2013,BBAS3,0,1
2013,BBAS3,1,128
2013,BBDC4,-1,131
2013,BBDC4,0,4
2013,BBDC4,1,113
2013,IBOV,-1,133
2013,IBOV,1,115
2013,ITSA4,-1,121
2013,ITSA4,0,10
2013,ITSA4,1,117
2013,ITUB4,-1,122
2013,ITUB4,0,4
2013,ITUB4,1,122
2013,PETR3,-1,131
2013,PETR3,0,3
2013,PETR3,1,114
2013,PETR4,-1,125
2013,PETR4,0,1
2013,PETR4,1,122
2013,VALE3,-1,123
2013,VALE3,0,3
2013,VALE3,1,122
2014,ABEV3,-1,123
2014,ABEV3,0,8
2014,ABEV3,1,117
2014,B3SA3,-1,127
2014,B3SA3,0,5
2014,B3SA3,1,116
2014,BBAS3,-1,123
2014,BBAS3,0,2
2014,BBAS3,1,123
2014,BBDC4,-1,126
2014,BBDC4,0,2
2014,BBDC4,1,120
2014,IBOV,-1,133
2014,IBOV,1,115
2014,ITSA4,-1,126
2014,ITSA4,0,5
2014,ITSA4,1,117
2014,ITUB4,-1,126
2014,ITUB4,1,122
2014,PETR3,-1,131
2014,PETR3,0,4
2014,PETR3,1,113
2014,PETR4,-1,132
2014,PETR4,0,2
2014,PETR4,1,114
2014,VALE3,-1,133
2014,VALE3,0,2
2014,VALE3,1,113
2015,ABEV3,-1,121
2015,ABEV3,0,8
2015,ABEV3,1,117
2015,B3SA3,-1,132
2015,B3SA3,0,6
2015,B3SA3,1,108
2015,BBAS3,-1,137
2015,BBAS3,0,3
2015,BBAS3,1,106
2015,BBDC4,-1,130
2015,BBDC4,1,116
2015,IBOV,-1,135
2015,IBOV,1,111
2015,ITSA4,-1,129
2015,ITSA4,0,10
2015,ITSA4,1,107
2015,ITUB4,-1,131
2015,ITUB4,0,4
2015,ITUB4,1,111
2015,PETR3,-1,127
2015,PETR3,0,4
2015,PETR3,1,115
2015,PETR4,-1,126
2015,PETR4,0,3
2015,PETR4,1,117
2015,VALE3,-1,136
2015,VALE3,0,1
2015,VALE3,1,109
2016,ABEV3,-1,119
2016,ABEV3,0,11
2016,ABEV3,1,119
2016,B3SA3,-1,119
2016,B3SA3,0,3
2016,B3SA3,1,127
2016,BBAS3,-1,115
2016,BBAS3,0,5
2016,BBAS3,1,129
2016,BBDC4,-1,106
2016,BBDC4,0,5
2016,BBDC4,1,138
2016,IBOV,-1,111
2016,IBOV,1,138
2016,ITSA4,-1,113
2016,ITSA4,0,9
2016,ITSA4,1,127
2016,ITUB4,-1,113
2016,ITUB4,0,1
2016,ITUB4,1,135
2016,PETR3,-1,122
2016,PETR3,0,2
2016,PETR3,1,125
2016,PETR4,-1,112
2016,PETR4,0,1
2016,PETR4,1,136
2016,VALE3,-1,113
2016,VALE3,0,1
2016,VALE3,1,135
2017,ABEV3,-1,108
2017,ABEV3,0,4
2017,ABEV3,1,134
2017,B3SA3,-1,112
2017,B3SA3,0,4
2017,B3SA3,1,130
2017,BBAS3,-1,109
2017,BBAS3,0,3
2017,BBAS3,1,134
2017,BBDC4,-1,117
2017,BBDC4,0,3
2017,BBDC4,1,126
2017,IBOV,-1,111
2017,IBOV,1,135
2017,ITSA4,-1,112
2017,ITSA4,0,11
2017,ITSA4,1,123
2017,ITUB4,-1,113
2017,ITUB4,0,1
2017,ITUB4,1,132
2017,PETR3,-1,116
2017,PETR3,0,5
2017,PETR3,1,125
2017,PETR4,-1,110
2017,PETR4,0,8
2017,PETR4,1,128
2017,VALE3,-1,110
2017,VALE3,0,2
2017,VALE3,1,134
2018,ABEV3,-1,132
2018,ABEV3,0,6
2018,ABEV3,1,107
2018,B3SA3,-1,122
2018,B3SA3,0,1
2018,B3SA3,1,122
2018,BBAS3,-1,110
2018,BBAS3,0,4
2018,BBAS3,1,131
2018,BBDC4,-1,114
2018,BBDC4,0,4
2018,BBDC4,1,127
2018,IBOV,-1,115
2018,IBOV,1,130
2018,ITSA4,-1,115
2018,ITSA4,0,5
2018,ITSA4,1,125
2018,ITUB4,-1,118
2018,ITUB4,1,127
2018,PETR3,-1,116
2018,PETR3,0,3
2018,PETR3,1,126
2018,PETR4,-1,114
2018,PETR4,0,2
2018,PETR4,1,129
2018,VALE3,-1,119
2018,VALE3,1,126
